text,label
LIBERAL HEADS EXPLODE! Trump Donates First Paycheck…Sends a HUGE Message to Cultural Marxists. President Trump just made liberal heads explode!,FAKE
Trump Appointee Didn’t Last Two Months Before Being Fired For Calling For Muslim Genocide. That didn t take long.,FAKE
WATCH Obama Mention Himself 119 Times During Hillary Endorsement Speech…And Then I Parted The Red Sea…LOL!. Narcissist isn t a strong enough word to describe this twisted little man,FAKE
College Moves to Fire Christian Professor For Saying Christians And Muslims Worship Same God (VIDEO). Professor Larycia Alaine Hawkins upset administrators at Wheaton College when she donned a headscarf last month to show solidarity with the Muslim community in the wake of anti-Islamic sentiment acr,FAKE
"FBI Agents Destroy Donald Trump After He Attacks The Agency And James Comey. Donald Trump went on quite a tweetstorm this morning, lashing out former Director of the FBI James Comey and the agency.",FAKE
"Senate Republicans Diss Trump BADLY–They LOVE Tim Kaine And Aren’t Afraid To Say So. The GOP has, more or less, gotten into the habit of putting forth lukewarm defenses of Donald Trump and his many ahem problems, or just staying silent altogether.",FAKE
"[VIDEO] SHOULD RINOS AND DEMOCRATS FEAR TRUMP’S PRESIDENTIAL BID? “I would build a great, great wall on our southern border and make Mexico pay for it”. Donald Trump announced he will be running for President as a Republican in 2016.",FAKE
SHE LIES AGAIN! HILLARY TELLS A WHOPPER During Her Convention Speech…A Tall Tale Tearjerker That Just Isn’t True!. Hillary and Bill Clinton have no shame!,FAKE
"WAS “OPEN-BORDERS” Angela Merkel Behind $4 MILLION Taxpayer Funded Donation To Hillary’s “Foundation” One Month Before Election?. Barack Obama recently kicked 35 Russian diplomats and their families out of the US, and announced sanctions over allegations that have yet to be proven, that the Russian ",FAKE
WOW! NEWS ANCHOR Hammers Obama On His Pro-Muslim Speech At Radical Mosque [Video]. Wow is right!,FAKE
"WATCH: Bill Maher Shuts Down Former RNC Chair’s ‘Bullsh*t Argument’ For Trump (VIDEO). During a panel segment on Real Time with Bill Maher on Friday night, former Republican National Committee chairman Michael Steele tried to make a half-hearted case for a Donald Trump administration.",FAKE
Democrats Give Trump A Big F**ck You After He Attacks Them In Insane Twitter Rant. Donald Trump s Twitter feed is always a goldmine of crazy.,FAKE
DNC CHAIR PEREZ Answers On Returning ‘Dirty’ Money From Weinstein [Video]. Democratic National Committee chair Tom Perez is in a tight spot.,FAKE
"Highest Canadian Court CONFIRMS Trump Scammed Investors (DETAILS). Donald Trump, the businessman who conservatives thought would be an ideal choice to become president of the most powerful country in the world, has scammed a lot of people along the way.",FAKE
"UNREAL! RIGHT BEFORE MASSACRE…#LasVegas Concert Crowd Sang ‘God Bless America’ [Video]. Just before the gunman began shooting, the Las Vegas concert crowd sang  God Bless America It s an amazing moment of togetherness that would end in horror.",FAKE
voting is the problem heres the solution. enter your email address below to receive updates each time we publish new content privacy guaranteed we never share your info follow us,FAKE
COLLEGE SNOWFLAKES FREAK OUT! “Feel Unsafe” Over VP Pence’s Planned Commencement Speech [Video]. Notre Dame students are freaking out over Vice President Pence s planned commencement speech.,FAKE
"CNN INTERVIEW TURNS INTO SCREAMING MATCH When Activist Director Argues New “IRRELEVANT” Footage Of Michael Brown Is Game Changer [VIDEO]. (From CNN) New video captured hours before Michael Brown was killed shows the 18-year-old exchanging marijuana for cigarillos with the clerks of a Ferguson, Misso",FAKE
"TRUMP MIC DROP MOMENT From 60 Minutes Interview: “I’m very good at this, it’s called construction”. The best part of the 60 Minutes interview was when Trump told the dumb@@ Leslie Stall this when asked if he would build the wall: What we are going to do is get the people that are criminal and have c",FAKE
LOU DOBBS WARNS: “Coup d’etat against Trump in full swing”…Who’s behind it? [Video]. THIS IS HUGE!,FAKE
