text,label
"Tanker set ablaze after being struck by projectile in the Strait of Hormuz as Iran mourns Khamenei. A tanker traveling off the coast of Oman in the Strait of Hormuz has caught on fire after being struck by a projectile. The United Kingdom Maritime Trade Operations center said Tuesday that the tanker had been hit near Limah, Oman, in the strait. It said the …",REAL
Belgium ends the USA’s World Cup dream with a dominant 4-1 win in the Round of 16. The summer of soccer love is over for the USA’s World Cup squad after losing 4-1 to Belgium.,REAL
"Platner says he's taking time to consider future of Maine Senate bid. ""We are taking the time to reflect on the best path forward,"" Platner said in a post on X.",REAL
Chinese Nuclear Submarine Test-Launches Long-Range Missile.,REAL
"CM Punk returns to Raw in Chicago, wins WWE championship. The rumors proved true, but with a twist no one expected. CM Punk did it again back home in the Windy City.",REAL
"Trump heads to Turkey as NATO is strained by Russian attacks, U.S. impatience. Trump frequently vented about NATO members' refusal to heed U.S. calls for help clearing the Strait of Hormuz during its campaign against Iran.",REAL
"Mike Johnson's birthright citizenship threat, explained. House Speaker Mike Johnson and other congressional Republicans are taking aim at birthright citizenship. Many barriers stand in their way.",REAL
"Charlie Kirk’s family leaves courtroom before testimony about shooting video and the sound of the fatal shot. Charlie Kirk’s parents and his widow, Erika Kirk, quietly left a Provo courtroom before a police officer began testifying about what videos of his fatal shooting showed, as defendant Tyler Robinson's preliminary hearing began Monday.",REAL
Deadly Russian strikes hit Ukraine’s capital ahead of key NATO meeting. The overnight attacks on Kyiv killed at least 19 people as Russia stepped up a new offensive.  Ukraine's president said NATO must do more to help his country intercept incoming missiles.,REAL
"Resistance and revenge - Iran wanted to send a message with its farewell to Khamenei. Three days of public mourning in Tehran was a political spectacle Iran's leaders wanted the world to see, writes the BBC's international correspondent Lyse Doucet.",REAL
"Mostly juveniles, young adults from out of state among 402 arrests in Newport Beach July 4th chaos, police say. Newport Beach police believe the majority of the people who caused chaos at Newport Beach on July 4th were young people from out of state. The gathering was reportedly organized on TikTok.",REAL
"Party Rock Anthem singer Lauren Bennett dies aged 37. Bennett's cause of death was not immediately clear and bandmates from her former group G.R.L say their ""hearts are broken"".",REAL
Celtics' Stevens cites 'challenging' path to explain Brown trade. Brad Stevens said Monday that the Celtics traded Jaylen Brown to keep the team competitive and add more optionality with draft assets.,REAL
All to know about Ronaldo’s World Cup career as it ends in Spain loss. The Portuguese captain became the only player to score in six World Cups after his brace against Uzbekistan.,REAL
"Stock futures are little changed after Dow tops 53,000 for first time: Live updates. Monday night's action follows a winning session on Wall Street.",REAL
"Walmart, Sam's Club slash prices on thousands of products as Trump says move came at his request. President Donald Trump claimed on Truth Social that Walmart summer price cuts were initiated at his administration's request to celebrate the country's 250th birthday.",REAL
China releases first photo of an asteroid some consider Earth’s ‘quasi moon’. China’s Tianwen-2 space probe has beamed back the first photo of an asteroid that some astronomers think might have once been part of the moon. The mission aims to return a sample to Earth.,REAL
"Cyclosporiasis outbreak in Michigan grows to nearly 700 cases. Haley Hompstead, a Monroe County resident — an area identified as a hotspot for the infection — said her symptoms began July 3.",REAL
"What to know as ticks spread to new regions and bring new threats. It’s summertime, and ticks are out in full force.  While in certain parts of the country, ticks have long been an issue, they’re now spreading to new regions and bringing new threats. William Brangham discussed the blood-sucking terrors with Holly Gaff, a mat…",REAL
"‘Don’t Die’ Guy Bryan Johnson Says He Has Serious Autoimmune Disease. ""My stomach is eating itself,"" wrote Johnson.",REAL
"Everything New in iOS 27 Beta 3. Apple is continuing to refine iOS 27 ahead of its planned September launch, and the third beta includes several new features. Siri is more...",REAL
"Asian Stocks Set to Gain After Tech-Powered Rally: Markets Wrap. Asian equities dropped as technology shares came under renewed selling pressure, with Samsung Electronics Co. falling after its earnings report.",REAL
"‘The Odyssey’ First Reactions Are Raves for Christopher Nolan’s ‘Astonishing’ Epic and ‘Flawless Filmmaking’: ‘Breathtaking, Bold and Perfection’. The first reactions for Christopher Nolan's 'The Odyssey' are mostly raves.",REAL
"Compulsion Games and Double Fine confirm ""Independence Day"" from Xbox. Compulsion Games and Double Fine – two formerly Xbox-owned developers now spun out from the Xbox family of studios as M…",REAL
"National Guard soldiers fatally shoot man who had gun in downtown Memphis. Police said the man turned his gun on the Tennessee National Guard members, who were deployed to the city by a Trump administration order last year.",REAL
"Belgian football body challenges reversal of Balogun’s World Cup suspension. Trump says he asked FIFA’s president to review USA player Balogun’s game suspension, but did not tell him what to do.",REAL
NYC's Upper East Side experiencing cluster of Legionnaires' with at least 18 cases. The health commissioner says there are several critical patients in the Upper East Side outbreak.,REAL
"Why Paramount is keeping Conor McGregor’s UFC return off CBS. Conor McGregor returns to UFC in UFC 329, but the event will be totally exclusive to Paramount+. That might suggest a strategy change.",REAL
"Hoto’s PixelDrive screwdriver is down to $60, matching its best price. Hoto’s PixelDrive is $59.99 ($20 off) at Amazon. The cordless screwdriver includes 30 bits, adjustable torque settings, a built-in display, and an LED light.",REAL
"Samsung Results Trigger Stock Rotation to Less Loved Sectors. Asian tech stocks slumped, as investors used Samsung Electronics Co.’s results to lock in profits on a stellar year-to-date chip rally, rotating into unloved sectors less prone to earnings shocks.",REAL
"In-N-Out unveils 6 new locations across 5 states. See where. The iconic company has grown beyond its California roots in recent years, opening locations in Colorado, Texas, Idaho, and as far east as Tennessee.",REAL
"US investors will soon get access to SK Hynix, another memory maker riding the AI boom. SK Hynix is experiencing a boom credited to AI. It will ride that to a multibillion-dollar U.S. IPO, expected to take place on Friday.",REAL
"Like It Or Not, SpaceX Set To Land In Millions Of Investors' Portfolios. SpaceX will be officially in the Nasdaq 100 index on Tuesday.",REAL
Toyota to invest $3.6 billion to move Tacoma pickup truck production from Mexico to Texas. Toyota said it is investing $3.6 billion to move production of the Tacoma midsize pickup truck from Mexico to its San Antonio manufacturing campus in Texas.,REAL
"Breaking: Vertex makes $10B deal for commercial endocrinology biotech Crinetics. Vertex Pharmaceuticals acquires Crinetics Pharmaceuticals for $10B ($85/share), gaining acromegaly drug Palsonify and endocrinology pipeline with ~$5B peak sales potential.",REAL
Blockbuster AI Deal Shows Why Honeywell Had to Break Up. Solstice Advanced Materials is buying Element Solutions for $14.5 billion.,REAL
TeraWulf Soars On Signing $19 Billion AI Lease With Anthropic. TeraWulf jumped more than 15% on the news. Fellow neocloud plays rallied.,REAL
"Primm resorts, travel stops saved from closure with new operator. Just two months after it appeared that a once-popular California-Nevada border hotel and gambling destination along the way to Las Vegas would become a ghost town, the Primm properties along the 15 Freeway are getting a second chance. The Primm family, which …",REAL
AMD Stock Rises as Goldman Sees Big Earnings Coming. AMD stock trades near the top of the S&P 500 as Goldman Sachs raises its price target on expectations of continued AI demand.,REAL
Publix recalls blueberries after multiple people reportedly became severely sick with E. coli. Here are the impacted states. Frozen blueberries sold at Publix were recalled after they were connected to multiple E. coli cases.,REAL
Trump rings Wall Street’s opening bells as he ties his presidency to stock market gains. President Donald Trump has rung the opening bells for the New York Stock Exchange and the Nasdaq from the Oval Office. It's a symbolic act that reflects how Trump has increasingly tied his presidency to the stock market. Trump said Monday after formally launc…,REAL
Tesla Stock Climbs as Robotaxi Expansion Reaches Miami. Tesla Shares Rise as Robotaxi Service Expands Into Miami,REAL
Strategy sheds $216 million in Bitcoin in crypto hoarder’s largest sale ever. The Bitcoin giant has reversed its crypto-hoarding strategy amid a broader market downturn.,REAL
"Louis Vuitton logo dispute sparks cultural design debate. LV might have won, but who created the design first?",REAL
"Versant Acquires Sports Tech Firm Full Swing For $530M. Versant Media Group has acquired sports tech firm Full Swing for $530 million, expanding its portfolio of businesses outside of traditional linear TV.",REAL
Elon Musk's No. 2 Says She's Giving SpaceX Stock to Trump Accounts. SpaceX president Gwynne Shotwell donates stock to Trump Accounts days after the President's prediction,REAL
Comcast’s Sky to Acquire ITV’s Networks and Streaming Businesses in $2.13 Billion Deal. The ITV Studios production arm will become a standalone business after the planned transaction.,REAL
"Felt a ‘big bang’: Firework strikes Delta flight landing in Chicago. The aircraft landed safely and taxied to the gate, the airline said, adding that the incident is under review.",REAL
Anthropic says Claude has carved out its own space to ponder. The AI lab offers fresh ammunition to the debate over what would count as machine consciousness.,REAL
12 Gadgets Under $25 That Deserve A Spot In Your Home Office. Working from home can mean spending hours on end in a makeshift space thrown together on the fly. These gadgets could ease some of the pain.,REAL
Pokémon GO Developer Niantic Changes Its Name And Logo. It will now be known as 'Scopely Explore',REAL
"Xbox sale round-up July 7, 2026. New Xbox sales are now live, with big discounts on Atomic Heart, Dragon Ball FighterZ, DEATHLOOP, Dead Cells, Redfall, Dragon Ball Xenoverse 2, Naruto Shippuden: Ultimate Ninja Storm 4 and more",REAL
This MacBook Pro packs premium features for under $400. Grab a MacBook Pro for a fraction of its original price.,REAL
"iPhone 18 Pro Release Date: A New September Timeline Emerges. Apple’s next iPhones are just a couple of months away. However, a report from an industry heavyweight adds nuance to the expected release schedule.",REAL
Epic Games settles lawsuit against former contractor accused of leaking unannounced Fortnite collaborations. Epic Games has settled a legal case against a former contractor accused of leaking confidential information about Fortn…,REAL
iPhone 18 Pro Logic Board’s High-Resolution Images Show A20 Pro Occupying Larger Die Area With Next-Generation Packaging & Qualcomm 5G Modem. The A20 Pro paired with a Qualcomm Snapdragon 5G modem is show in the latest high-resolution images belonging to the iPhone 18 Pro logic board,REAL
Resident Evil Requiem Officially Returns July 30 With New DLC. Resident Evil Requiem is officially getting brand-new DLC on July 30 ahead of the release of Resident Evil Veronica in 2027.,REAL
"Major Pokémon Go 10th Anniversary Broadcast Announced. Pokémon Go will hold a very special 10th anniversary broadcast this Thursday, July 9 — with details on what it will contain currently top secret.",REAL
The rise of computer chips — and the race to control them. An analysis sets out the history of computing beyond software and Californian entrepreneurs.,REAL
"Apple adds new popup for AI features that send data to Google Cloud. Apple now uses Google servers to power some of its new and upcoming AI features, and the company is using...",REAL
Game Pass Is Reportedly Back Down To 30 Million Subscribers. The decline comes after a very unpopular price hike in 2025,REAL
Founder Asks 'How Much' As Xbox Looks To Cut Arkane Loose. A storied studio's future is more uncertain than ever,REAL
The foldable iPhone may be in short supply upon release. The expected iPhone Ultra's advanced design is likely to pose challenges for manufacturing.,REAL
Guilty Gear Strive Shocks Players with Confirmation of a Second Guest Character. Coming in winter 2026,REAL
"Why Buy a Small Power Bank When Anker's 160W 14-Port Docking Station Is Back to Near-Black Friday Pricing?. For a limited time, you can grab this 14-in-1 solution selling for nearly $100 off at Amazon.",REAL
"Galaxy Watch 9 and Watch Ultra 2 will follow foldables in price increase, leak says - 9to5Google. Samsung’s foldables aren’t the only devices we expect to get a price increase. Reports say the Galaxy Watch 9 series...",REAL
"The Elder Scrolls Online Season One dominates the July roadmap. It's time to check out The Elder Scrolls Online's roadmap for July, which, unsurprisingly, focuses on the start of Season One: Return of the Thieves Guild.",REAL
"The Ferrari 12Cilindri Manuale's Stick-Shift Might Not Be 'Real' But You've Gotta Stop Freaking Out About It. In essence, it was either going to be this ""fake"" manual, or no manual at all, and I personally believe in the lesser of two evils. Do you not?",REAL
"State of Decay 3 may no longer be destined for Xbox Game Pass. Undead Labs is reportedly being sold, and State of Decay 3 may no longer be contractually required to launch on Xbox Game Pass.",REAL
"YouTuber Builds 25-Foot Rideable RC Battleship for $400, and It Shoots Fireworks. When most gearheads and DIYers get the itch to hit the water, they look into buying a used jet ski, a small john boat, or maybe a kayak. But YouTube creator...",REAL
Ryzen AI Developer Platform: AMD's Own Linux Distribution Built Atop Debian. With the AMD Ryzen AI Halo developer platform there is the option of ordering this Ryzen AI Max+ mini PC with either Microsoft Windows 11 or 'Linux OS'.,REAL
There's a Reason Persona 4 Revival's Animated Cutscenes Look So Good. These things MAPPA,REAL
"Why Googlebook could finally deliver the perfect 2-in-1 convertible experience. It’s no secret that that we're pretty excited for the arrival of Googlebook later this fall. And while I do have a healthy dose of hesitation regarding the desktop experience on Google's new laptops, I'm really excited by the potential that these devices will…",REAL
Get Ready for Pokémon GO Fest 2026: Global. We’re once again reminding you to put on sunscreen before catching massive quantities of Pokémon.,REAL
Original Switch consoles are being discontinued in Europe as Nintendo details how EU battery laws will impact its retail strategy for Switch 2. Nintendo has detailed the rollout plans for Switch 2 revisions with replaceable batteries in Europe and announced Switch 1 will stop production in 2027.,REAL
"Samsung confirms the names of the Galaxy Watch9, Galaxy Watch Ultra2, and Galaxy Able - GSMArena.com news. These are all expected to launch later this month. Samsung has just confirmed the names of its upcoming wearable devices, expected to be unveiled on July...",REAL
"Women hit fertility tipping point at 49 even with young donor eggs. Age-related changes in the womb lining may be the cause and could be treatable in the future, say experts.",REAL
"2 Teas With Surprising Gut Health Benefits, According to a New Study. A new study finds green and oolong teas offer standout gut health and antioxidant benefits when used to brew kombucha. Learn what to sip for more benefits.",REAL
"California Man’s Eyelid Bump Turned Out To Be a Worm Never Before Seen in the US. The eight millimeter-long ""nodule"" on the man's eyelid was originally suspected to be a chalazion.",REAL
"County Health Officials Report First Locally Acquired Chagas Case - San Diego County News Center. County health officials have confirmed the region’s first locally acquired case of Chagas disease, identified during routine blood donation screening in a donor without symptoms.",REAL
10 ‘healthiest’ ultra-processed foods — the scientist’s list. Not all UPFs are bad for us. Here are the UPFs you can put in your trolley without a second thought,REAL
"Mom, 34, Gets Pregnant with ‘Miracle’ Baby After Breast Cancer. Then Doctors Discover 7 Brain Tumors. “I just don’t want to forget my life and my kids, I just don’t want to lose that,” Amy Carroll said ahead of her treatment for brain cancer",REAL
"The Best High-Fiber Breakfast for the Mediterranean Diet, According to Dietitians. Dietitians say overnight oats are the best high-fiber breakfast for the Mediterranean diet. Learn why they love it, plus other alternatives.",REAL
"I built a house for my dad with dementia to live in with us. When his health declined, it cost $120,000 to support him.. John Nuar, 34, cared for his father with dementia before moving him into memory care. Nothing prepared him for the financial decisions he had to make.",REAL
"Scientists discover why exercise reverses muscle aging. Researchers have uncovered a molecular “switch” that helps explain why exercise keeps ageing muscles healthy. By reducing levels of a gene called DEAF1, physical activity allows older muscles to clear out damage, repair themselves, and maintain strength.",REAL
"What Happens to Your Blood Sugar When You Eat Cherries, According to Dietitians. Registered dietitians share what happens to your blood sugar when you eat cherries, along with tips for managing blood sugar.",REAL
"5 Fruits High in Potassium That Lower Blood Pressure. Learn how fruits like bananas, oranges, and kiwis can support healthy blood pressure thanks to their high potassium content and other heart-healthy nutrients.",REAL
"5 Things to Avoid After 5 P.M. If You Have High Blood Pressure. Learn about the 5 things experts recommend avoiding after 5 p.m. if you have high blood pressure. Some things to be avoided include alcohol, sugary snacks and too much screen time.",REAL
"Why experts say peptides just might be the secret to reviving thinning hair. Research suggests these short chains of amino acids can boost scalp circulation, promote collagen production and may even stimulate new growth.",REAL
"Cat Fleas Linked to Fatal Human Disease in Texas. The potentially life-threatening disease was nearly eradicated decades ago, but now it is back and taking on Texas.",REAL
"Ebola deaths in Congo top 500 as health workers threaten to strike - ABC News - Breaking News, Latest News and Videos. Authorities report that at least 500 people have died from over 1,500 confirmed Ebola cases in Congo",REAL
6 Cat Breeds Known for Minimal Shedding - marthastewart.com. Looking for a cat with less shedding? These six breeds are known for leaving less fur around the house than most.,REAL
"Blind People Offered Hope of Seeing Again After Stem Cell Breakthrough Remakes Retinal Blood Vessels. When injected into mice with retinal disease, the special retinal blood cells integrated into the damaged tissue to regenerate blood vessels.",REAL
"Oncologists Warn: Ditch Talc-Based Powders to Lower Cancer Risk. Plus, healthier alternatives to try.",REAL
Golden Retriever Gets a 'Naughty' Report Card From Day Care — and the Photos Are Priceless. This canine cutie got called out.,REAL
What Happens To Your Brain When You Brush Your Teeth With Your Opposite Hand?. Brush your teeth with your non-dominant hand to support neuroplasticity and new neural connections. Facts and research.,REAL
"Healthy eating habits may protect your brain as you age. Healthy eating may help protect the brain, even after early biological changes linked to Alzheimer’s disease have begun, a study suggests. Dr. Leana Wen explains.",REAL
"Doctors say 8 forgotten habits could help fight stress, obesity and chronic disease. From walking everywhere to eating seasonal foods and sharing community meals, experts say these forgotten American health habits are worth reviving.",REAL
"Column | Why does cancer seem so common right now? An oncologist explains.. While more people are being diagnosed with cancer today compared with 50 years ago, the good news is that fewer people are dying from it.",REAL
"Why U.S. measles outbreaks have grown harder to extinguish. The nation is already nearing last year’s record case total, and experts say the virus is forcing doctors to relearn a disease many thought had been consigned to history.",REAL
"A Jupiter-sized planet outlived its dying star, and NASA’s Webb has now read its atmosphere — the first ever detected on a world orbiting a white dwarf. The gas giant WD 1856 b should have been swallowed when its star ballooned into a red giant. Webb found methane, haze, and a faint leftover heat in its air, and that heat became the clue to how the planet survived.",REAL
"Even astronauts in space saw America 250 fireworks on the Fourth of July. See their ISS view of Los Angeles (video). ""A celebration so bright it reached all the way to space!""",REAL
"Artemis II astronaut Jeremy Hansen announces space agency retirement weeks after historic moon mission. The Canadian Space Agency’s Jeremy Hansen, who captivated the world during the historic moon mission, said Monday he’d soon step back from a full-time astronaut role.",REAL
Antarctica Froze Millions of Years Before the Arctic. We May Finally Know Why. A new study presents a geological explanation for the East Antarctic Ice Sheet's head start.,REAL
"Scientists Say We May Have Been Wrong About the Origin of Life. Research rethinks amino acid origins, revealing insights into life’s earliest building blocks on Earth and potential clues for finding life on other planets.",REAL
"Cave finds reveal modern humans and Neanderthals may have shared long-term cultural continuity. Tens of thousands of years ago, Homo sapiens coexisted with Neanderthals, Homo neanderthalensis. Many of us living today carry a small amount of Neanderthal DNA, indicating that the two species may have shared much more than just the same land. Now, a breakth…",REAL
"'What we found was striking': Physicists take the closest-ever look at a black hole's mysterious event horizon. Physicists isolated the ‘last sound’ of a black hole collision, providing an unprecedented glimpse of the region right next to the event horizon — the black...",REAL
"Earth’s Hidden Eighth Continent Is No Longer Lost. Zealandia, Earth’s eighth continent, was mostly lost to the sea. Geologists say they’ve now mapped the entirety of the underwater land mass.",REAL
"Paleontologists make 'one in a million' discovery of soft tissue preserved in 450-million-year-old fossil. Before the oldest dinosaur, before animals or even plants had expanded onto dry land, ancient relatives of starfish called crinoids, resembling stalked sea flowers, were among the first creatures to flourish in Earth's earliest coral reefs more than 450 milli…",REAL
"Five questions for Dr. Rubin, who’s armed with a mic and a bowtie. A doctor on the front lines against misinformation has a lot to say.",REAL
Katalyst's satellite rescue mission is now in pursuit of NASA's Swift. It will take several weeks for the Link spacecraft to rendezvous with NASA's Swift observatory.,REAL
"Researchers make breakthrough discovery about fast-spreading invasive fern. ""When the plant tries to undergo meiosis, those differences prevent proper chromosome pairing.""",REAL
MIT researchers move closer to petabit-speed chips with breakthrough in photonic integration. MIT develops new photonic integration tech to help future chips transmit data at more than 1 petabit/second with improved energy efficiency.,REAL
"On 13 April 2029, a 375-metre asteroid called Apophis will sweep past Earth closer than many telecommunications satellites — and, under clear dark skies, around two billion people across Europe, Africa and parts of Asia may be able to watch it move across t. On 13 April 2029, an asteroid the size of a large skyscraper, roughly 375 metres across and named Apophis, will sweep past Earth closer than many telecommunications satellites orbit. And for once, we will be able to watch. Under clear, dark skies, an estimate…",REAL
"Both Pluto and Titan Share a Mystery Molecule That’s Never Been Seen Before. Whatever it is, it's nothing registered in our chemical database, researchers say.",REAL
"This Gut Microbe Could Be the Secret to Staying Strong as You Age. Scientists have identified a gut microbe that appears to be associated with stronger muscles and better fitness, with levels declining as people age.",REAL
"Want to Live Like a Deep-Space Colonist for a Year? NASA Will Pay You to Do It - extremetech.com. The selection process will be quite strict, though.",REAL
"Larger brain, smaller face: Human evolution took a different course than previously thought. A new study, published July 6, 2026, in the journal Nature Communications, suggests that two of the best-known trends in human evolution—brain growth and the reduction in the size of the face and jaw—may be far less attributable to directed natural selection …",REAL
"Researchers Reveal the Power of ‘Quantum Proofs’. When checking that solutions to certain problems are correct, it turns out, you can’t get around the inherent complexity of the quantum world.",REAL
